Post Number,Original Post date,Original Post Time,Retweets,Likes,URL,Content,
1.35,13/4/2020,8:23 AM,0,0,https://twitter.com/HBandaare/status/1249531035265765376,https://twitter.com/i/status/1249531035265765376 - Image,w
1.36,13/4/2020,8:59 AM,0,0,https://twitter.com/dilbran/status/1249540136901021696,"No point wasting time with Racist.. Jehan Hameed, Ali Sabry and the group needs to be answered one day.",A
1.37,13/4/2020,9:45 AM,0,0,https://twitter.com/ShilhanB/status/1249551807455440897,මම ඒත් බැලුවා ඔයා මොකද පරක්කු කියලා... ,a
1.38,13/4/2020,9:57 AM,0,0,https://twitter.com/DilshanKamil/status/1249554846610489345,"Mokada danne neha neda mehe witarak ehama adahanaya karanne ,, ape corona mokuth wisheshayakda",i
1.40,13/4/2020,10:02 AM,0,0,https://twitter.com/MohamedIMsIShu/status/1249556040317841408,"Lowama options dhekak thiyanawa kiyala kiyadhdhi mehama wedak karanawata sathutu wennna dheyak newai.
Thamaa mehama post dhaapu eka nam shame Aney.",i
1.41,13/4/2020,11:42 AM,0,0,https://twitter.com/Sha_kirahamed/status/1249581135555772418,joyFace with tears,i
1.42,13/4/2020,1:55 PM,0,0,https://twitter.com/MShahudulla/status/1249614558081069057,සැමන් පරිප්පු දැන් අඩුවට දෙන්නේ නැත්තේ තෙල් මිල ඉහල ගිහින්ද? අනේ ආයෙත් අර නෙළුම් කුළුණ දල්වමුකෝ. බඩගින්නේ ඉන්න අයට බඩගින්න නොදැනෙන්න ,i
1.43,13/4/2020,6:23 PM,0,0,https://twitter.com/nilufernilar/status/1249682094613241871,Avurudu gift by the government to the racists…,a
1.44,13/4/2020,6:45 PM,0,0,https://twitter.com/erangaee/status/1249687652195954688,great ....,i
1.45,14/4/2020,1:48 PM,0,0,https://twitter.com/abdullah_imac/status/1249975218182840320,UN issues a Warning to the extremists https://facebook.com/253162218052473/posts/2878231222212213/?d=n,i
1.46,14/4/2020,2:20 PM,0,0,https://twitter.com/anurangaonline/status/1249983359121608704,නීතිය එකයි නම් මහබැංකු කඩපු උන් ඉන්න ඕනි හිරේ උන් ජනාධිපති ට උපදෙස් දෙනවා. මිනිස්සු ගේ සහනාධාර හොරා කනවා මන්ත්‍රී ලා ඒවට නීති නැ. මිග් හොරා එලියේ ඒවට නීතිය නැ. රෙද්දේ නීතිය,w
1.47,14/4/2020,8:53 PM,0,0,https://twitter.com/diluikshan/status/1250082273417785346,heart imoje,a
1.48,13/4/2020,1:53 PM,0,1,https://twitter.com/my_rizaniya/status/1249614284818190337,"One law? What about hiru TV, who had their avurudu celebrations in spite of curfew. And expelled d employees, who disclose it to public. Slvlog, exposed them and he's videos were blocked by fb. Didn't you know about this? Hiru tvs atrocities",a
1.49,13/4/2020,2:17 PM,0,1,https://twitter.com/rajithavw/status/1249620304034320384,So what? You’ll have demanded religious rights to bury dead bodies and this was not like that. We don’t allowed you to destroy our cultural rights second consecutive year.,i
1.50,13/4/2020,6:41 AM,0,0,https://twitter.com/shiyam160/status/1249505513928343553,U r a biggest Racial Corona of Srilanka,i
1.51,13/4/2020,11:21 PM,0,0,https://twitter.com/sanoonmh/status/1249757137284235264,Mind U! Over the time we will find a vaccination for #COVID19 but There won't be any medicine for #racism coz of people like you. #RacismIsAVirus #Notoracism #srilanka #StayAtHome #StaySafe #unityisstrength,a
1.52,15/4/2020,9:07 AM,0,0,https://twitter.com/Shaznarifai1/status/1250266923498999809,One law? Then you and your like will be in jail already.,a
1.53,12/4/2020,5:12 PM,0,16,https://twitter.com/TheGrumpyLankan/status/1249301909913010176,Someone’s long-time desire of watching Muslims burn has just come true… Congrats!,TweetDeck
1.54,12/4/1900,5:07 PM,0,0,https://twitter.com/duplicatesiri/status/1249300660195078144,You racist fool must be so happy!,i
